run,freq_Hz,period_s,idd_A
281,5.49746E+06,1.81902E-07,0.000124767
282,4.89975E+06,2.04092E-07,0.000123558
283,6.04848E+06,1.65331E-07,0.000133772
284,5.65416E+06,1.76861E-07,0.000124243
285,6.27418E+06,1.59383E-07,0.000131616
286,4.83059E+06,2.07014E-07,0.000125398
287,5.29745E+06,1.8877E-07,0.000130383
288,6.49611E+06,1.53938E-07,0.000122108
289,5.97069E+06,1.67485E-07,0.000135941
290,6.20653E+06,1.61121E-07,0.000128127
291,6.1161E+06,1.63503E-07,0.000127772
292,5.69248E+06,1.7567E-07,0.000125973
293,6.09632E+06,1.64033E-07,0.000130955
294,6.47131E+06,1.54528E-07,0.000128355
295,6.05218E+06,1.6523E-07,0.000129551
296,5.75424E+06,1.73785E-07,0.000127202
297,5.80784E+06,1.72181E-07,0.000124376
298,5.59228E+06,1.78818E-07,0.000132146
299,5.89384E+06,1.69669E-07,0.000130501
300,5.17912E+06,1.93083E-07,0.00012399
301,5.94549E+06,1.68195E-07,0.00013316
302,5.67442E+06,1.76229E-07,0.000127137
303,4.42945E+06,2.25762E-07,0.00012693
304,5.94916E+06,1.68091E-07,0.000130441
305,6.05588E+06,1.65129E-07,0.000126373
306,6.57309E+06,1.52135E-07,0.000130008
307,6.41858E+06,1.55798E-07,0.000124905
308,6.13416E+06,1.63022E-07,0.000132983
309,5.40043E+06,1.8517E-07,0.000135559
310,5.52553E+06,1.80978E-07,0.000132174
311,5.72484E+06,1.74677E-07,0.000116838
312,6.27008E+06,1.59488E-07,0.000126373
313,5.88647E+06,1.69881E-07,0.000125618
314,4.80366E+06,2.08175E-07,0.000127672
315,5.02445E+06,1.99027E-07,0.000131069
316,6.24359E+06,1.60164E-07,0.000130276
317,6.31296E+06,1.58404E-07,0.000126465
318,5.54403E+06,1.80374E-07,0.000128377
319,5.82624E+06,1.71637E-07,0.00012971
320,6.46455E+06,1.5469E-07,0.000129812
321,4.42598E+06,2.25939E-07,0.000129153
322,5.33793E+06,1.87339E-07,0.000126597
323,6.26115E+06,1.59715E-07,3.34167E-05
324,5.97575E+06,1.67343E-07,0.000129023
325,6.04577E+06,1.65405E-07,0.000131331
326,6.56279E+06,1.52374E-07,0.000130312
327,5.37415E+06,1.86076E-07,0.00012697
328,6.0504E+06,1.65278E-07,0.000124922
329,5.96683E+06,1.67593E-07,0.000133108
330,5.84219E+06,1.71169E-07,0.000125523
331,3.98895E+06,2.50693E-07,0.000132905
332,5.85053E+06,1.70925E-07,0.00012737
333,5.69248E+06,1.7567E-07,3.5808E-05
334,5.61595E+06,1.78064E-07,0.000127646
335,6.25543E+06,1.59861E-07,0.000120949
336,6.52393E+06,1.53282E-07,0.000136878
337,5.43029E+06,1.84152E-07,0.000129144
338,5.43098E+06,1.84129E-07,0.000127627
339,5.97475E+06,1.67371E-07,0.000130314
340,6.11511E+06,1.63529E-07,3.51187E-05
341,4.80523E+06,2.08107E-07,0.000129204
342,6.47209E+06,1.5451E-07,0.000131032
343,5.92577E+06,1.68754E-07,0.000130204
344,5.27196E+06,1.89683E-07,0.000130012
345,4.58367E+06,2.18166E-07,0.000125433
346,6.02438E+06,1.65992E-07,0.000128459
347,6.71969E+06,1.48816E-07,0.000130374
348,6.27263E+06,1.59423E-07,0.000130448
349,5.83676E+06,1.71328E-07,0.000134463
350,5.35264E+06,1.86824E-07,0.000130727
351,5.8527E+06,1.70861E-07,0.000125443
352,5.82094E+06,1.71794E-07,0.00013007
353,5.69881E+06,1.75475E-07,0.000133113
354,5.70504E+06,1.75284E-07,0.000122302
355,5.72686E+06,1.74616E-07,0.000128353
356,5.60307E+06,1.78473E-07,0.000125293
357,6.56724E+06,1.52271E-07,0.000126181
358,5.80893E+06,1.72149E-07,0.000123629
359,4.93399E+06,2.02676E-07,0.000125079
360,6.16966E+06,1.62084E-07,0.000129369
361,5.51649E+06,1.81275E-07,0.000124932
362,5.50133E+06,1.81774E-07,0.000127447
363,5.40876E+06,1.84885E-07,0.000127055
364,6.19092E+06,1.61527E-07,0.000125607
365,5.41315E+06,1.84735E-07,0.0001243
366,5.80886E+06,1.72151E-07,0.000132051
367,6.02249E+06,1.66044E-07,0.00013103
368,6.55585E+06,1.52536E-07,0.00012531
369,5.84435E+06,1.71106E-07,0.000127012
370,6.53044E+06,1.53129E-07,0.000121452
371,6.32109E+06,1.582E-07,0.000135352
372,6.96183E+06,1.4364E-07,0.000125888
373,5.34852E+06,1.86968E-07,0.000130743
374,5.84856E+06,1.70982E-07,0.000121847
375,5.91509E+06,1.69059E-07,0.000134259
376,5.31118E+06,1.88282E-07,0.000128822
377,5.75842E+06,1.73659E-07,0.000128161
378,5.58791E+06,1.78958E-07,0.000133337
379,6.20062E+06,1.61274E-07,0.000131572
380,5.32927E+06,1.87643E-07,0.00013359
381,5.77463E+06,1.73171E-07,0.00012833
382,5.40374E+06,1.85057E-07,0.00012048
383,6.0523E+06,1.65226E-07,0.000125559
384,5.56699E+06,1.7963E-07,0.000129096
385,6.09722E+06,1.64009E-07,0.000133813
386,6.02164E+06,1.66068E-07,0.000124846
387,5.93814E+06,1.68403E-07,0.000135128
388,6.46039E+06,1.54789E-07,0.000120581
389,5.89624E+06,1.69599E-07,0.000126407
390,4.57019E+06,2.18809E-07,0.000126233
391,5.73154E+06,1.74473E-07,0.000135455
392,6.19619E+06,1.6139E-07,0.000132849
393,6.51594E+06,1.5347E-07,0.000131655
394,6.53693E+06,1.52977E-07,0.000133024
395,6.6687E+06,1.49954E-07,0.000127547
396,6.69192E+06,1.49434E-07,0.000135701
397,5.81831E+06,1.71871E-07,0.000128084
398,5.53024E+06,1.80824E-07,0.000127744
399,6.0928E+06,1.64128E-07,0.000125596
400,6.00122E+06,1.66633E-07,0.000129441
401,6.51178E+06,1.53568E-07,0.000126557
402,6.3103E+06,1.58471E-07,0.000128562
403,0,0,0
404,6.04332E+06,1.65472E-07,0.000130167
405,6.15962E+06,1.62348E-07,0.000123926
406,6.38192E+06,1.56693E-07,0.000124999
407,6.17746E+06,1.61879E-07,0.000126878
408,6.34904E+06,1.57504E-07,0.000126537
409,6.12013E+06,1.63395E-07,0.000125783
410,6.5279E+06,1.53189E-07,0.000125756
411,6.18786E+06,1.61607E-07,0.000132388
412,6.04735E+06,1.65362E-07,0.000124461
413,6.29854E+06,1.58767E-07,0.000131348
414,6.42345E+06,1.5568E-07,0.000127148
415,5.95008E+06,1.68065E-07,0.000127017
416,4.7921E+06,2.08677E-07,0.00012588
417,5.4674E+06,1.82902E-07,0.000136109
418,5.73669E+06,1.74316E-07,0.000134578
419,5.58771E+06,1.78964E-07,0.000127209
420,5.07941E+06,1.96873E-07,0.000131913
421,6.61246E+06,1.5123E-07,0.000134112
422,6.09562E+06,1.64052E-07,0.00013473
423,6.19571E+06,1.61402E-07,0.000122942
424,5.63316E+06,1.7752E-07,0.000127741
425,6.40402E+06,1.56152E-07,0.000128242
426,6.0437E+06,1.65462E-07,0.000126663
427,6.5101E+06,1.53607E-07,0.000129839
428,6.49406E+06,1.53987E-07,3.63156E-05
429,5.66909E+06,1.76395E-07,0.000128037
430,5.9034E+06,1.69394E-07,0.000132338
431,4.9051E+06,2.03869E-07,0.000128913
432,5.72535E+06,1.74662E-07,0.000133261
433,6.27384E+06,1.59392E-07,0.000120935
434,5.4881E+06,1.82212E-07,0.000127895
435,5.20286E+06,1.92202E-07,0.000127587
436,5.91809E+06,1.68973E-07,0.000129304
437,5.44681E+06,1.83594E-07,0.000122337
438,5.92422E+06,1.68799E-07,0.00012313
439,6.22414E+06,1.60665E-07,0.000132194
440,5.96761E+06,1.67571E-07,0.000131114
441,5.63311E+06,1.77522E-07,0.000126463
442,5.71886E+06,1.7486E-07,0.000128519
443,6.64477E+06,1.50494E-07,0.000131164
444,6.46992E+06,1.54561E-07,0.000133234
445,6.5014E+06,1.53813E-07,0.000130562
446,5.64222E+06,1.77235E-07,0.000123588
447,5.8068E+06,1.72212E-07,0.000130575
448,5.77949E+06,1.73025E-07,0.000137457
449,6.11469E+06,1.63541E-07,0.000129834
450,5.62031E+06,1.77926E-07,0.000125464
451,4.07819E+06,2.45207E-07,0.000126464
452,5.67323E+06,1.76266E-07,0.000121136
453,5.78713E+06,1.72797E-07,0.000132812
454,7.08076E+06,1.41228E-07,0.000128862
455,6.21742E+06,1.60838E-07,0.00012258
456,5.25516E+06,1.90289E-07,0.000136222
457,5.8764E+06,1.70172E-07,0.000124956
