run,freq_Hz,period_s,idd_A
347,6.72E+06,1.49E-07,0.000130374
348,6.27E+06,1.59E-07,0.000130448
349,5.84E+06,1.71E-07,0.000134463
350,5.35E+06,1.87E-07,0.000130727
351,5.85E+06,1.71E-07,0.000125443
352,5.82E+06,1.72E-07,0.00013007
353,5.70E+06,1.75E-07,0.000133113
354,5.71E+06,1.75E-07,0.000122302
355,5.73E+06,1.75E-07,0.000128353
356,5.60E+06,1.78E-07,0.000125293
357,6.57E+06,1.52E-07,0.000126181
358,5.81E+06,1.72E-07,0.000123629
359,4.93E+06,2.03E-07,0.000125079
360,6.17E+06,1.62E-07,0.000129369
361,5.52E+06,1.81E-07,0.000124932
362,5.50E+06,1.82E-07,0.000127447
363,5.41E+06,1.85E-07,0.000127055
364,6.19E+06,1.62E-07,0.000125607
365,5.41E+06,1.85E-07,0.0001243
366,5.81E+06,1.72E-07,0.000132051
367,6.02E+06,1.66E-07,0.00013103
368,6.56E+06,1.53E-07,0.00012531
369,5.84E+06,1.71E-07,0.000127012
370,6.53E+06,1.53E-07,0.000121452
371,6.32E+06,1.58E-07,0.000135352
372,6.96E+06,1.44E-07,0.000125888
373,5.35E+06,1.87E-07,0.000130743
374,5.85E+06,1.71E-07,0.000121847
375,5.92E+06,1.69E-07,0.000134259
376,5.31E+06,1.88E-07,0.000128822
377,5.76E+06,1.74E-07,0.000128161
378,5.59E+06,1.79E-07,0.000133337
379,6.20E+06,1.61E-07,0.000131572
380,5.33E+06,1.88E-07,0.00013359
381,5.77E+06,1.73E-07,0.00012833
382,5.40E+06,1.85E-07,0.00012048
383,6.05E+06,1.65E-07,0.000125559
384,5.57E+06,1.80E-07,0.000129096
385,6.10E+06,1.64E-07,0.000133813
386,6.02E+06,1.66E-07,0.000124846
387,5.94E+06,1.68E-07,0.000135128
388,6.46E+06,1.55E-07,0.000120581
389,5.90E+06,1.70E-07,0.000126407
390,4.57E+06,2.19E-07,0.000126233
391,5.73E+06,1.74E-07,0.000135455
392,6.20E+06,1.61E-07,0.000132849
393,6.52E+06,1.53E-07,0.000131655
394,6.54E+06,1.53E-07,0.000133024
395,6.67E+06,1.50E-07,0.000127547
396,6.69E+06,1.49E-07,0.000135701
397,5.82E+06,1.72E-07,0.000128084
398,5.53E+06,1.81E-07,0.000127744
399,6.09E+06,1.64E-07,0.000125596
400,6.00E+06,1.67E-07,0.000129441
401,6.51E+06,1.54E-07,0.000126557
402,6.31E+06,1.58E-07,0.000128562
403,6.27E+06,1.60E-07,0.000124916
404,6.04E+06,1.65E-07,0.000130167
405,6.16E+06,1.62E-07,0.000123926
406,6.38E+06,1.57E-07,0.000124999
407,6.18E+06,1.62E-07,0.000126878
408,6.35E+06,1.58E-07,0.000126537
409,6.12E+06,1.63E-07,0.000125783
410,6.53E+06,1.53E-07,0.000125756
411,6.19E+06,1.62E-07,0.000132388
412,6.05E+06,1.65E-07,0.000124461
413,6.30E+06,1.59E-07,0.000131348
414,6.42E+06,1.56E-07,0.000127148
415,5.95E+06,1.68E-07,0.000127017
416,4.79E+06,2.09E-07,0.00012588
417,5.47E+06,1.83E-07,0.000136109
418,5.74E+06,1.74E-07,0.000134578
419,5.59E+06,1.79E-07,0.000127209
420,5.08E+06,1.97E-07,0.000131913
421,6.61E+06,1.51E-07,0.000134112
422,6.10E+06,1.64E-07,0.00013473
423,6.20E+06,1.61E-07,0.000122942
424,5.63E+06,1.78E-07,0.000127741
425,6.40E+06,1.56E-07,0.000128242
426,6.04E+06,1.65E-07,0.000126663
427,6.51E+06,1.54E-07,0.000129839
428,6.49E+06,1.54E-07,3.63E-05
429,5.67E+06,1.76E-07,0.000128037
430,5.90E+06,1.69E-07,0.000132338
431,4.91E+06,2.04E-07,0.000128913
432,5.73E+06,1.75E-07,0.000133261
433,6.27E+06,1.59E-07,0.000120935
434,5.49E+06,1.82E-07,0.000127895
435,5.20E+06,1.92E-07,0.000127587
436,5.92E+06,1.69E-07,0.000129304
437,5.45E+06,1.84E-07,0.000122337
438,5.92E+06,1.69E-07,0.00012313
439,6.22E+06,1.61E-07,0.000132194
440,5.97E+06,1.68E-07,0.000131114
441,5.63E+06,1.78E-07,0.000126463
442,5.72E+06,1.75E-07,0.000128519
443,6.64E+06,1.50E-07,0.000131164
444,6.47E+06,1.55E-07,0.000133234
445,6.50E+06,1.54E-07,0.000130562
446,5.64E+06,1.77E-07,0.000123588
447,5.81E+06,1.72E-07,0.000130575
448,5.78E+06,1.73E-07,0.000137457
449,6.11E+06,1.64E-07,0.000129834
450,5.62E+06,1.78E-07,0.000125464
451,4.08E+06,2.45E-07,0.000126464
452,5.67E+06,1.76E-07,0.000121136
453,5.79E+06,1.73E-07,0.000132812
454,7.08E+06,1.41E-07,0.000128862
455,6.22E+06,1.61E-07,0.00012258
456,5.26E+06,1.90E-07,0.000136222
457,5.88E+06,1.70E-07,0.000124956
458,6.49E+06,1.54E-07,0.000131969
459,5.86E+06,1.71E-07,0.000127353
460,6.14E+06,1.63E-07,0.000126202
461,5.80E+06,1.72E-07,0.000125191
462,5.87E+06,1.70E-07,0.000124262
463,6.67E+06,1.50E-07,0.000127624
464,6.55E+06,1.53E-07,0.000135888
465,5.80E+06,1.72E-07,0.000125154
466,6.04E+06,1.65E-07,0.000118926
467,6.12E+06,1.63E-07,0.000124168
468,5.66E+06,1.77E-07,0.000128842
469,5.56E+06,1.80E-07,0.000132371
470,6.83E+06,1.46E-07,0.000138796
471,5.44E+06,1.84E-07,0.000130037
472,5.84E+06,1.71E-07,0.000123021
473,6.41E+06,1.56E-07,0.00013276
474,5.55E+06,1.80E-07,0.000126333
475,6.15E+06,1.63E-07,0.000124449
476,5.40E+06,1.85E-07,0.00013186
477,5.72E+06,1.75E-07,0.000121074
478,6.03E+06,1.66E-07,0.000124485
479,5.86E+06,1.71E-07,0.000123721
480,5.49E+06,1.82E-07,0.0001261
481,5.83E+06,1.71E-07,0.000125222
482,6.60E+06,1.52E-07,0.000124668
483,6.55E+06,1.53E-07,0.000130082
484,5.80E+06,1.72E-07,0.000126877
485,6.55E+06,1.53E-07,0.000131577
486,6.11E+06,1.64E-07,0.000128585
487,5.25E+06,1.91E-07,0.000121338
488,6.39E+06,1.56E-07,0.000129412
489,6.13E+06,1.63E-07,0.0001291
490,5.50E+06,1.82E-07,3.68E-05
491,6.25E+06,1.60E-07,0.000125127
492,6.59E+06,1.52E-07,0.000126762
493,4.88E+06,2.05E-07,0.000128781
494,5.52E+06,1.81E-07,0.000123646
495,5.62E+06,1.78E-07,0.000131828
496,5.62E+06,1.78E-07,0.000122528
497,5.62E+06,1.78E-07,0.000124456
498,4.38E+06,2.28E-07,0.000128293
499,5.68E+06,1.76E-07,0.000129883
500,5.48E+06,1.83E-07,0.000130064
