run,freq_Hz,period_s,idd_A
1,2.26661E+06,4.41188E-07,3.11702E-05
2,1.93095E+06,5.1788E-07,2.89086E-05
3,1.87906E+06,5.32182E-07,2.96257E-05
4,1.89212E+06,5.28508E-07,2.78306E-05
5,1.95189E+06,5.12323E-07,3.02576E-05
6,2.15756E+06,4.63487E-07,3.09875E-05
7,0,0,0
8,2.03197E+06,4.92133E-07,2.96538E-05
9,2.00421E+06,4.98949E-07,3.32891E-05
10,1.81027E+06,5.52403E-07,3.02872E-05
