temp_C,freq_Hz,idd_A
-40,1.99478E+06,2.76382E-05
-20,2.01489E+06,2.85969E-05
0,2.03016E+06,2.956E-05
27,2.06103E+06,3.07839E-05
50,2.10675E+06,3.17781E-05
75,2.17164E+06,3.27957E-05
100,2.24091E+06,3.37623E-05
125,2.30858E+06,3.51133E-05
