vdd_V,freq_Hz,idd_A
1.62,5.97932E+06,2.26445E-05
1.70,6.03612E+06,2.59842E-05
1.80,5.98488E+06,3.01536E-05
1.90,5.85739E+06,3.43988E-05
1.98,5.72931E+06,3.75755E-05
