vdd_V,freq_Hz,idd_A
1.62,2.044E+06,2.3838E-05
1.70,2.05866E+06,2.6869E-05
1.80,2.06103E+06,3.07839E-05
1.90,2.05272E+06,3.47865E-05
1.98,2.04193E+06,3.80264E-05
