run,freq_Hz,period_s,idd_A,,,,
1,6.29E+06,1.59E-07,0.00012623,,,,
2,6.10E+06,1.64E-07,0.000128087,,,,
3,5.51E+06,1.82E-07,0.000128889,,,,
4,5.65E+06,1.77E-07,0.000128785,,,,
5,6.67E+06,1.50E-07,0.00012715,,,,
6,5.81E+06,1.72E-07,0.000125693,,,,
7,5.37E+06,1.86E-07,0.000120576,,,,
8,5.65E+06,1.77E-07,0.00013095,,,,
9,6.33E+06,1.58E-07,0.000124253,,,,
10,5.78E+06,1.73E-07,0.000131499,,,,
11,4.51E+06,2.22E-07,0.000126842,,,,
12,6.70E+06,1.49E-07,0.000135534,,,,
13,5.96E+06,1.68E-07,0.000131398,,,,
14,5.45E+06,1.84E-07,0.000129537,,,,
15,5.07E+06,1.97E-07,0.00012916,,,,
16,5.53E+06,1.81E-07,0.00013367,,,,
17,6.56E+06,1.52E-07,0.000132614,,,,
18,5.71E+06,1.75E-07,0.000130724,,,,
19,5.94E+06,1.68E-07,0.000128323,,,,
20,6.47E+06,1.55E-07,0.000131401,,,,
21,5.81E+06,1.72E-07,0.000136236,,,,
22,6.52E+06,1.53E-07,0.000129362,,,,
23,5.99E+06,1.67E-07,0.000126289,,,,
24,6.42E+06,1.56E-07,0.000125868,,,,
25,6.25E+06,1.60E-07,0.000118861,,,,
26,5.79E+06,1.73E-07,0.000127709,,,,
27,6.26E+06,1.60E-07,0.000126841,,,,
28,6.05E+06,1.65E-07,0.000128862,,,,
29,6.40E+06,1.56E-07,0.000132297,,,,
30,5.29E+06,1.89E-07,0.000125527,,,,
31,5.72E+06,1.75E-07,0.000118134,,,,
32,5.57E+06,1.80E-07,0.000130798,,,,
33,5.61E+06,1.78E-07,0.000124184,,,,
34,6.08E+06,1.64E-07,0.000127745,,,,
35,5.58E+06,1.79E-07,0.000131362,,,,
36,5.89E+06,1.70E-07,0.00013126,,,,
37,6.30E+06,1.59E-07,0.000125378,,,,
38,6.34E+06,1.58E-07,0.000132419,,,,
39,6.40E+06,1.56E-07,0.00012987,,,,
40,5.37E+06,1.86E-07,0.00013942,,,,
41,5.91E+06,1.69E-07,0.000130695,,,,
42,6.70E+06,1.49E-07,0.000127749,,,,
43,5.42E+06,1.84E-07,0.000135709,,,,
44,6.03E+06,1.66E-07,0.000135031,,,,
45,6.65E+06,1.50E-07,0.000129673,,,,
46,5.68E+06,1.76E-07,0.000129878,,,,
47,5.93E+06,1.69E-07,0.000123009,,,,
48,5.48E+06,1.83E-07,0.000135356,,,,
49,6.12E+06,1.63E-07,3.78E-05,,,,
50,5.36E+06,1.87E-07,0.000127211,,,,
51,6.66E+06,1.50E-07,0.000136751,,,,
52,6.14E+06,1.63E-07,0.000127681,,,,
53,5.89E+06,1.70E-07,0.000129538,,,,
54,6.14E+06,1.63E-07,0.000131049,,,,
55,5.47E+06,1.83E-07,0.000131375,,,,
56,5.30E+06,1.89E-07,0.00012144,,,,
57,5.03E+06,1.99E-07,0.000130054,,,,
58,6.27E+06,1.60E-07,0.000124916,,,,
59,5.82E+06,1.72E-07,0.000121174,,0,0,0
60,6.21E+06,1.61E-07,0.00013103,,,,
61,6.41E+06,1.56E-07,0.000127876,,,,
62,6.23E+06,1.61E-07,0.000130491,,,,
63,5.63E+06,1.78E-07,0.000134984,,,,
64,6.08E+06,1.65E-07,0.000128564,,,,
65,5.55E+06,1.80E-07,0.000136971,,,,
66,5.42E+06,1.84E-07,0.000127249,,,,
67,5.56E+06,1.80E-07,0.00012498,,,,
68,6.21E+06,1.61E-07,0.000127325,,,,
69,5.39E+06,1.86E-07,0.000123405,,,,
70,5.67E+06,1.76E-07,0.000115927,,,,
71,5.48E+06,1.83E-07,0.000127585,,,,
72,6.22E+06,1.61E-07,0.000126536,,,,
73,6.47E+06,1.55E-07,0.000128567,,,,
74,5.91E+06,1.69E-07,0.000127844,,,,
75,5.12E+06,1.95E-07,0.000123946,,,,
76,5.79E+06,1.73E-07,0.000125966,,,,
77,5.76E+06,1.73E-07,0.000127759,,,,
78,5.40E+06,1.85E-07,0.000123918,,,,
79,4.72E+06,2.12E-07,0.000124136,,,,
80,5.82E+06,1.72E-07,0.000131174,,,,
81,6.29E+06,1.59E-07,0.000128974,,,,
82,5.51E+06,1.82E-07,0.000125187,,,,
83,5.85E+06,1.71E-07,0.000130624,,,,
84,6.01E+06,1.67E-07,0.000132477,,,,
85,5.37E+06,1.86E-07,0.000129627,,,,
86,6.59E+06,1.52E-07,0.00013281,,,,
87,5.34E+06,1.87E-07,0.00013071,,,,
88,5.55E+06,1.80E-07,0.000128683,,,,
89,5.22E+06,1.92E-07,0.000127261,,,,
90,6.09E+06,1.64E-07,0.000132439,,,,
91,6.08E+06,1.64E-07,0.000124793,,,,
92,6.10E+06,1.64E-07,0.000134472,,,,
93,5.94E+06,1.68E-07,0.000131349,,,,
94,4.63E+06,2.16E-07,0.000121547,,,,
95,5.01E+06,2.00E-07,0.000121126,,,,
96,6.26E+06,1.60E-07,0.00013151,,,,
97,5.87E+06,1.70E-07,0.000123938,,,,
98,6.18E+06,1.62E-07,0.000128256,,,,
99,6.68E+06,1.50E-07,0.000129213,,,,
100,5.32E+06,1.88E-07,0.000125582,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
