temp_C,freq_Hz,idd_A
-40,5.15026E+06,2.65989E-05
-20,5.42981E+06,2.76848E-05
0,5.67856E+06,2.88021E-05
27,5.98525E+06,3.0289E-05
50,6.22856E+06,3.14944E-05
75,6.48198E+06,3.29131E-05
100,6.72182E+06,3.4261E-05
125,6.94859E+06,3.57691E-05
