vdd_V,freq_Hz,idd_A
1.62,4.98E+06,2.09E-05
1.7,8.61E+06,2.61E-05
1.8,1.00E+07,3.19E-05
1.9,1.11E+07,3.57E-05
1.98,1.05E+07,3.96E-05
