run,freq_Hz,period_s,idd_A
1,9.61277E+06,1.04028E-07,3.11714E-05
2,1.01358E+07,9.86605E-08,3.54728E-05
3,1.03142E+07,9.69541E-08,2.70968E-05
4,1.03806E+07,9.63339E-08,3.16681E-05
5,1.08176E+07,9.24418E-08,2.9499E-05
6,1.08336E+07,9.23055E-08,3.0441E-05
7,1.02283E+07,9.77676E-08,3.09095E-05
8,1.35529E+07,7.37849E-08,3.35251E-05
9,7.10347E+06,1.40776E-07,3.60494E-05
10,9.10943E+06,1.09776E-07,3.37548E-05
