run,freq_Hz,period_s,idd_A
896,3.96E+06,2.53E-07,3.02E-05
897,5.82E+06,1.72E-07,3.03E-05
898,6.00E+06,1.67E-07,2.97E-05
899,5.85E+06,1.71E-07,3.02E-05
900,4.97E+06,2.01E-07,2.97E-05
901,4.76E+06,2.10E-07,2.97E-05
902,6.81E+06,1.47E-07,3.09E-05
903,5.60E+06,1.79E-07,3.08E-05
904,5.81E+06,1.72E-07,2.79E-05
905,6.30E+06,1.59E-07,2.94E-05
906,6.17E+06,1.62E-07,3.05E-05
907,6.52E+06,1.53E-07,3.00E-05
908,6.46E+06,1.55E-07,3.17E-05
909,5.57E+06,1.80E-07,2.85E-05
910,5.91E+06,1.69E-07,3.00E-05
911,6.08E+06,1.64E-07,3.13E-05
912,5.53E+06,1.81E-07,2.88E-05
913,5.16E+06,1.94E-07,2.91E-05
914,6.19E+06,1.61E-07,2.95E-05
915,6.21E+06,1.61E-07,2.79E-05
916,6.47E+06,1.55E-07,3.09E-05
917,5.49E+06,1.82E-07,2.75E-05
918,6.36E+06,1.57E-07,2.76E-05
919,6.12E+06,1.63E-07,3.13E-05
920,5.25E+06,1.90E-07,3.07E-05
921,6.33E+06,1.58E-07,3.24E-05
922,5.93E+06,1.69E-07,2.86E-05
923,5.59E+06,1.79E-07,2.82E-05
924,7.28E+06,1.37E-07,3.12E-05
925,6.38E+06,1.57E-07,3.40E-05
926,6.13E+06,1.63E-07,3.25E-05
927,5.31E+06,1.88E-07,2.88E-05
928,5.52E+06,1.81E-07,3.15E-05
929,5.67E+06,1.76E-07,2.87E-05
930,6.34E+06,1.58E-07,3.14E-05
931,6.24E+06,1.60E-07,3.04E-05
932,4.89E+06,2.04E-07,3.14E-05
933,6.09E+06,1.64E-07,3.18E-05
934,5.76E+06,1.74E-07,2.94E-05
935,5.41E+06,1.85E-07,3.07E-05
936,5.10E+06,1.96E-07,2.67E-05
937,5.86E+06,1.71E-07,2.97E-05
938,6.40E+06,1.56E-07,2.94E-05
939,5.12E+06,1.95E-07,2.98E-05
940,5.26E+06,1.90E-07,2.87E-05
941,5.46E+06,1.83E-07,3.00E-05
942,6.54E+06,1.53E-07,3.13E-05
943,5.82E+06,1.72E-07,3.03E-05
944,6.38E+06,1.57E-07,2.88E-05
945,6.35E+06,1.57E-07,3.08E-05
946,4.80E+06,2.08E-07,2.87E-05
947,6.18E+06,1.62E-07,3.00E-05
948,6.21E+06,1.61E-07,3.34E-05
949,5.81E+06,1.72E-07,3.07E-05
950,5.37E+06,1.86E-07,2.75E-05
951,6.07E+06,1.65E-07,3.00E-05
952,6.31E+06,1.59E-07,3.36E-05
953,5.88E+06,1.70E-07,2.93E-05
954,6.07E+06,1.65E-07,2.97E-05
955,6.16E+06,1.62E-07,3.05E-05
956,4.52E+06,2.21E-07,2.92E-05
957,5.52E+06,1.81E-07,3.12E-05
958,5.76E+06,1.74E-07,3.15E-05
959,4.56E+06,2.19E-07,3.03E-05
960,5.02E+06,1.99E-07,2.90E-05
961,6.10E+06,1.64E-07,3.27E-05
962,5.94E+06,1.68E-07,3.14E-05
963,5.89E+06,1.70E-07,3.14E-05
964,5.86E+06,1.71E-07,2.98E-05
965,4.03E+06,2.48E-07,3.01E-05
