temp_C,freq_Hz,idd_A
-40,2.5968E+06,2.27793E-05
-15,5.09839E+06,2.6311E-05
0,6.85196E+06,2.83032E-05
27,1.00298E+07,3.19454E-05
50,1.19966E+07,3.30775E-05
75,1.28448E+07,3.45191E-05
100,1.34797E+07,3.65447E-05
125,1.40522E+07,3.88948E-05
